dt_data1,dt_data2,dt_data3,dt_data4,dt_data5,dt_data6
User,Action,Accuracy,Precision,Recall,F1_Score
1,About,0.92308,0.9,1,0.94737
1,And,0.7037,0.7037,1,0.82609
1,Can,0.76667,0.83333,0.78947,0.81081
1,Cop,0.62963,1,0.47368,0.64286
1,Deaf,0.96296,0.95,1,0.97436
1,Decide,0.96296,1,0.94737,0.97297
1,Father,0.96296,1,0.94737,0.97297
1,Find,0.7037,0.7037,1,0.82609
1,Goout,0.96296,1,0.94737,0.97297
1,Hearing,1,1,1,1
2,About,0.96154,1,0.94444,0.97143
2,And,0.96296,0.95,1,0.97436
2,Can,0.96296,1,0.94737,0.97297
2,Cop,0.81481,1,0.73684,0.84848
2,Deaf,0.81481,0.88889,0.84211,0.86486
2,Decide,0.96296,0.95,1,0.97436
2,Father,0.88889,1,0.84211,0.91429
2,Find,1,1,1,1
2,Goout,0.92593,0.94737,0.94737,0.94737
2,Hearing,1,1,1,1
3,About,0.53571,0.6,0.83333,0.69767
3,And,0.46667,0.56,0.73684,0.63636
3,Can,0.78571,0.80952,0.89474,0.85
3,Cop,0.53571,0.71429,0.52632,0.60606
3,Deaf,0.85185,0.89474,0.89474,0.89474
3,Decide,0.66667,0.85714,0.63158,0.72727
3,Father,0.92308,0.90476,1,0.95
3,Find,0.89286,0.9,0.94737,0.92308
3,Goout,0.59259,0.68182,0.78947,0.73171
3,Hearing,0.92593,0.90476,1,0.95
4,About,0.92593,1,0.88889,0.94118
4,And,0.96296,1,0.94737,0.97297
4,Can,0.77778,0.80952,0.89474,0.85
4,Cop,0.66667,0.77778,0.73684,0.75676
4,Deaf,0.92593,1,0.89474,0.94444
4,Decide,0.96296,1,0.94737,0.97297
4,Father,0.92593,1,0.89474,0.94444
4,Find,1,1,1,1
4,Goout,0.81481,1,0.73684,0.84848
4,Hearing,0.59259,0.72222,0.68421,0.7027
5,About,0.7037,0.69231,1,0.81818
5,And,0.74074,0.875,0.73684,0.8
5,Can,0.81481,0.9375,0.78947,0.85714
5,Cop,0.85185,0.85714,0.94737,0.9
5,Deaf,0.77778,0.93333,0.73684,0.82353
5,Decide,0.81481,0.9375,0.78947,0.85714
5,Father,1,1,1,1
5,Find,0.66667,0.91667,0.57895,0.70968
5,Goout,0.85185,0.89474,0.89474,0.89474
5,Hearing,0.96296,0.95,1,0.97436
7,About,0.92308,1,0.88889,0.94118
7,And,0.92593,0.90476,1,0.95
7,Can,0.88889,0.86364,1,0.92683
7,Cop,0.81481,0.85,0.89474,0.87179
7,Deaf,1,1,1,1
7,Decide,0.77778,1,0.68421,0.8125
7,Father,0.92593,0.94737,0.94737,0.94737
7,Find,0.74074,0.8,0.84211,0.82051
7,Goout,0.88889,1,0.84211,0.91429
7,Hearing,0.96296,1,0.94737,0.97297
8,About,0.88462,0.94118,0.88889,0.91429
8,And,0.59259,0.83333,0.52632,0.64516
8,Can,0.74074,0.8,0.84211,0.82051
8,Cop,0.88889,0.94444,0.89474,0.91892
8,Deaf,0.88889,1,0.84211,0.91429
8,Decide,0.62963,0.73684,0.73684,0.73684
8,Father,0.81481,0.88889,0.84211,0.86486
8,Find,0.88889,0.94444,0.89474,0.91892
8,Goout,0.73077,0.83333,0.78947,0.81081
8,Hearing,0.74074,0.92857,0.68421,0.78788
9,About,0.88462,0.85714,1,0.92308
9,And,1,1,1,1
9,Can,0.78571,0.78261,0.94737,0.85714
9,Cop,0.88889,1,0.84211,0.91429
9,Deaf,0.77778,0.84211,0.84211,0.84211
9,Decide,0.92308,1,0.89474,0.94444
9,Father,0.96296,1,0.94737,0.97297
9,Find,0.81481,0.85,0.89474,0.87179
9,Goout,0.88889,0.86364,1,0.92683
9,Hearing,1,1,1,1
11,About,0.9,0.89474,0.94444,0.91892
11,And,0.85185,0.85714,0.94737,0.9
11,Can,1,1,1,1
11,Cop,1,1,1,1
11,Deaf,0.92593,1,0.89474,0.94444
11,Decide,0.88889,0.9,0.94737,0.92308
11,Father,0.85185,0.89474,0.89474,0.89474
11,Find,0.96296,0.95,1,0.97436
11,Goout,0.96154,1,0.94737,0.97297
11,Hearing,0.66667,0.72727,0.84211,0.78049
12,About,1,1,1,1
12,And,1,1,1,1
12,Can,0.66667,0.91667,0.57895,0.70968
12,Cop,0.81481,0.79167,1,0.88372
12,Deaf,0.92593,1,0.89474,0.94444
12,Decide,0.81481,1,0.73684,0.84848
12,Father,0.92593,1,0.89474,0.94444
12,Find,0.88889,1,0.84211,0.91429
12,Goout,1,1,1,1
12,Hearing,0.81481,1,0.73684,0.84848
