nn_data1,nn_data2,nn_data3,nn_data4,nn_data5,nn_data6
User,Action,Accuracy,Precision,Recall,F1_Score
1,About,0.91071,0.94286,0.91667,0.92958
1,And,0.98305,1,0.97368,0.98667
1,Can,0.62667,0.62667,1,0.77049
1,Cop,0.74576,0.76744,0.86842,0.81481
1,Deaf,0.62069,0.64286,0.94737,0.76596
1,Decide,0.96552,1,0.94737,0.97297
1,Father,0.77966,0.83784,0.81579,0.82667
1,Find,0.94828,0.97297,0.94737,0.96
1,Goout,0.72414,0.72,0.94737,0.81818
1,Hearing,1,1,1,1
2,About,0.94643,1,0.91667,0.95652
2,And,0.63793,0.72973,0.71053,0.72
2,Can,0.94828,1,0.92105,0.9589
2,Cop,0.65517,0.65517,1,0.79167
2,Deaf,0.96552,0.97368,0.97368,0.97368
2,Decide,0.94828,0.97297,0.94737,0.96
2,Father,0.81034,0.81395,0.92105,0.8642
2,Find,0.86207,0.84091,0.97368,0.90244
2,Goout,0.96552,1,0.94737,0.97297
2,Hearing,1,1,1,1
3,About,0.71831,0.70492,0.95556,0.81132
3,And,0.62162,0.63014,0.97872,0.76667
3,Can,0.61667,0.62712,0.97368,0.76289
3,Cop,0.61429,0.65625,0.89362,0.75676
3,Deaf,0.64407,0.64407,1,0.78351
3,Decide,0.94828,0.94872,0.97368,0.96104
3,Father,0.64286,0.67308,0.92105,0.77778
3,Find,0.92857,0.97727,0.91489,0.94505
3,Goout,0.72414,0.75,0.86842,0.80488
3,Hearing,0.72414,0.78947,0.78947,0.78947
4,About,0.98529,1,0.97778,0.98876
4,And,1,1,1,1
4,Can,0.67797,0.67273,0.97368,0.7957
4,Cop,0.60345,0.63636,0.92105,0.75269
4,Deaf,0.86441,0.94118,0.84211,0.88889
4,Decide,0.65517,0.65517,1,0.79167
4,Father,0.57627,0.61818,0.89474,0.73118
4,Find,0.65517,0.66071,0.97368,0.78723
4,Goout,0.94828,1,0.92105,0.9589
4,Hearing,0.89655,0.9,0.94737,0.92308
5,About,0.93103,0.92105,0.97222,0.94595
5,And,0.96552,0.97368,0.97368,0.97368
5,Can,0.68966,0.68519,0.97368,0.80435
5,Cop,0.84483,0.96774,0.78947,0.86957
5,Deaf,0.63793,0.64912,0.97368,0.77895
5,Decide,0.68966,0.69231,0.94737,0.8
5,Father,0.87931,1,0.81579,0.89855
5,Find,0.96552,1,0.94737,0.97297
5,Goout,0.98276,1,0.97368,0.98667
5,Hearing,0.98276,0.97436,1,0.98701
7,About,1,1,1,1
7,And,0.91379,0.97143,0.89474,0.93151
7,Can,1,1,1,1
7,Cop,0.96552,0.97368,0.97368,0.97368
7,Deaf,0.93103,1,0.89474,0.94444
7,Decide,0.98276,1,0.97368,0.98667
7,Father,0.96552,1,0.94737,0.97297
7,Find,0.98276,1,0.97368,0.98667
7,Goout,1,1,1,1
7,Hearing,0.93103,0.90476,1,0.95
8,About,0.98214,1,0.97222,0.98592
8,And,0.68966,0.68519,0.97368,0.80435
8,Can,0.63793,0.66038,0.92105,0.76923
8,Cop,0.86207,0.96875,0.81579,0.88571
8,Deaf,0.96552,1,0.94737,0.97297
8,Decide,0.65517,0.65517,1,0.79167
8,Father,0.63793,0.64912,0.97368,0.77895
8,Find,0.72414,0.72917,0.92105,0.81395
8,Goout,0.85714,0.89474,0.89474,0.89474
8,Hearing,0.96552,0.97368,0.97368,0.97368
9,About,1,1,1,1
9,And,1,1,1,1
9,Can,0.93333,0.925,0.97368,0.94872
9,Cop,0.7931,0.79545,0.92105,0.85366
9,Deaf,0.64407,0.64407,1,0.78351
9,Decide,1,1,1,1
9,Father,0.65517,0.65517,1,0.79167
9,Find,1,1,1,1
9,Goout,0.94828,0.97297,0.94737,0.96
9,Hearing,0.98276,1,0.97368,0.98667
11,About,0.86667,0.83019,0.97778,0.89796
11,And,0.98276,1,0.97368,0.98667
11,Can,0.98276,1,0.97368,0.98667
11,Cop,0.67857,0.88462,0.60526,0.71875
11,Deaf,0.86207,0.94118,0.84211,0.88889
11,Decide,0.7931,0.77083,0.97368,0.86047
11,Father,0.63793,0.64912,0.97368,0.77895
11,Find,0.98276,1,0.97368,0.98667
11,Goout,0.96429,0.97368,0.97368,0.97368
11,Hearing,0.82759,0.83333,0.92105,0.875
12,About,1,1,1,1
12,And,0.84483,0.89189,0.86842,0.88
12,Can,0.91379,0.97143,0.89474,0.93151
12,Cop,0.84483,0.87179,0.89474,0.88312
12,Deaf,0.62069,0.64286,0.94737,0.76596
12,Decide,0.96552,1,0.94737,0.97297
12,Father,0.96552,1,0.94737,0.97297
12,Find,0.87931,1,0.81579,0.89855
12,Goout,0.96552,1,0.94737,0.97297
12,Hearing,1,1,1,1
