nn_data1,nn_data2,nn_data3,nn_data4,nn_data5,nn_data6
User,Action,Accuracy,Precision,Recall,F1_Score
1,About,0.92308,0.9,1,0.94737
1,And,0.77778,0.84211,0.84211,0.84211
1,Can,0.63333,0.7,0.73684,0.71795
1,Cop,0.59259,0.9,0.47368,0.62069
1,Deaf,0.77778,0.80952,0.89474,0.85
1,Decide,0.81481,0.79167,1,0.88372
1,Father,0.85185,0.82609,1,0.90476
1,Find,0.92593,0.90476,1,0.95
1,Goout,0.88889,0.86364,1,0.92683
1,Hearing,0.81481,1,0.73684,0.84848
2,About,1,1,1,1
2,And,0.59259,0.7,0.73684,0.71795
2,Can,0.96296,1,0.94737,0.97297
2,Cop,0.77778,1,0.68421,0.8125
2,Deaf,0.7037,0.7037,1,0.82609
2,Decide,1,1,1,1
2,Father,0.96296,1,0.94737,0.97297
2,Find,0.85185,0.94118,0.84211,0.88889
2,Goout,0.88889,1,0.84211,0.91429
2,Hearing,0.88889,0.86364,1,0.92683
3,About,0.57143,0.625,0.83333,0.71429
3,And,0.63333,0.63333,1,0.77551
3,Can,0.35714,0.53333,0.42105,0.47059
3,Cop,0.67857,0.77778,0.73684,0.75676
3,Deaf,0.7037,0.73913,0.89474,0.80952
3,Decide,0.85185,0.85714,0.94737,0.9
3,Father,0.84615,1,0.78947,0.88235
3,Find,0.75,0.875,0.73684,0.8
3,Goout,0.44444,0.75,0.31579,0.44444
3,Hearing,0.55556,1,0.36842,0.53846
4,About,0.96296,1,0.94444,0.97143
4,And,1,1,1,1
4,Can,0.81481,0.79167,1,0.88372
4,Cop,0.7037,0.73913,0.89474,0.80952
4,Deaf,0.74074,1,0.63158,0.77419
4,Decide,0.81481,0.79167,1,0.88372
4,Father,0.96296,1,0.94737,0.97297
4,Find,0.92593,1,0.89474,0.94444
4,Goout,0.81481,1,0.73684,0.84848
4,Hearing,0.7037,0.7619,0.84211,0.8
5,About,0.96296,0.94737,1,0.97297
5,And,0.96296,0.95,1,0.97436
5,Can,0.77778,0.80952,0.89474,0.85
5,Cop,0.7037,0.7037,1,0.82609
5,Deaf,0.59259,0.75,0.63158,0.68571
5,Decide,0.92593,0.90476,1,0.95
5,Father,0.85185,1,0.78947,0.88235
5,Find,0.88889,1,0.84211,0.91429
5,Goout,0.92593,1,0.89474,0.94444
5,Hearing,0.2963,,0,
7,About,1,1,1,1
7,And,0.55556,0.65217,0.78947,0.71429
7,Can,0.66667,0.69231,0.94737,0.8
7,Cop,0.88889,0.94444,0.89474,0.91892
7,Deaf,0.92593,1,0.89474,0.94444
7,Decide,0.74074,0.73077,1,0.84444
7,Father,0.88889,1,0.84211,0.91429
7,Find,0.96296,1,0.94737,0.97297
7,Goout,1,1,1,1
7,Hearing,0.85185,0.82609,1,0.90476
8,About,1,1,1,1
8,And,0.7037,0.7037,1,0.82609
8,Can,0.74074,0.8,0.84211,0.82051
8,Cop,0.88889,1,0.84211,0.91429
8,Deaf,0.74074,1,0.63158,0.77419
8,Decide,0.92593,0.90476,1,0.95
8,Father,0.85185,0.82609,1,0.90476
8,Find,0.81481,0.81818,0.94737,0.87805
8,Goout,0.84615,0.94118,0.84211,0.88889
8,Hearing,0.33333,1,0.052632,0.1
9,About,0.92308,0.9,1,0.94737
9,And,0.96296,1,0.94737,0.97297
9,Can,0.67857,0.67857,1,0.80851
9,Cop,0.85185,0.82609,1,0.90476
9,Deaf,0.7037,0.7037,1,0.82609
9,Decide,0.92308,1,0.89474,0.94444
9,Father,1,1,1,1
9,Find,0.96296,0.95,1,0.97436
9,Goout,0.88889,0.94444,0.89474,0.91892
9,Hearing,0.48148,0.85714,0.31579,0.46154
11,About,0.7,0.66667,1,0.8
11,And,0.96296,1,0.94737,0.97297
11,Can,0.96296,1,0.94737,0.97297
11,Cop,0.73077,0.73077,1,0.84444
11,Deaf,0.55556,1,0.36842,0.53846
11,Decide,0.81481,0.85,0.89474,0.87179
11,Father,0.88889,1,0.84211,0.91429
11,Find,0.92593,1,0.89474,0.94444
11,Goout,0.53846,1,0.36842,0.53846
11,Hearing,0.2963,,0,
12,About,1,1,1,1
12,And,0.74074,0.73077,1,0.84444
12,Can,0.77778,0.76,1,0.86364
12,Cop,0.81481,0.88889,0.84211,0.86486
12,Deaf,0.77778,1,0.68421,0.8125
12,Decide,0.88889,1,0.84211,0.91429
12,Father,0.92593,1,0.89474,0.94444
12,Find,0.92593,1,0.89474,0.94444
12,Goout,0.96296,0.95,1,0.97436
12,Hearing,0.7037,0.72,0.94737,0.81818
